"Plot Title: 10078381_PR46LVL_SUBMERGED"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10078381, SEN S/N: 10078381)","Coupler Attached (LGR S/N: 10078381)","Host Connected (LGR S/N: 10078381)","End Of File (LGR S/N: 10078381)"
1,11.12.20 01:13:56 PM,15.378,,,
2,11.12.20 01:18:56 PM,15.473,,,
3,11.12.20 01:23:56 PM,15.569,,,
4,11.12.20 01:28:56 PM,15.473,,,
5,11.12.20 01:33:56 PM,15.569,,,
6,11.12.20 01:38:56 PM,15.473,,,
7,11.12.20 01:43:56 PM,15.473,,,
8,11.12.20 01:48:56 PM,15.378,,,
9,11.12.20 01:53:56 PM,15.378,,,
10,11.12.20 01:58:56 PM,15.473,,,
11,11.12.20 02:03:56 PM,15.473,,,
12,11.12.20 02:08:56 PM,15.473,,,
13,11.12.20 02:13:56 PM,15.473,,,
14,11.12.20 02:18:56 PM,15.473,,,
15,11.12.20 02:23:56 PM,15.473,,,
16,11.12.20 02:28:56 PM,15.473,,,
17,11.12.20 02:33:56 PM,15.473,,,
18,11.12.20 02:38:56 PM,15.473,,,
19,11.12.20 02:43:56 PM,15.569,,,
20,11.12.20 02:48:56 PM,15.569,,,
21,11.12.20 02:53:56 PM,15.569,,,
22,11.12.20 02:58:56 PM,15.569,,,
23,11.12.20 03:03:56 PM,15.569,,,
24,11.12.20 03:08:56 PM,15.664,,,
25,11.12.20 03:13:56 PM,15.664,,,
26,11.12.20 03:18:56 PM,15.664,,,
27,11.12.20 03:23:56 PM,15.664,,,
28,11.12.20 03:28:56 PM,15.664,,,
29,11.12.20 03:33:56 PM,15.664,,,
30,11.12.20 03:38:56 PM,15.569,,,
31,11.12.20 03:43:56 PM,15.664,,,
32,11.12.20 03:48:56 PM,15.760,,,
33,11.12.20 03:53:56 PM,15.569,,,
34,11.12.20 03:58:56 PM,15.378,,,
35,11.12.20 04:03:56 PM,15.473,,,
36,11.12.20 04:08:56 PM,15.473,,,
37,11.12.20 04:13:56 PM,15.473,,,
38,11.12.20 04:18:56 PM,15.760,,,
39,11.12.20 04:23:56 PM,15.951,,,
40,11.12.20 04:28:56 PM,15.760,,,
41,11.12.20 04:33:56 PM,15.664,,,
42,11.12.20 04:38:56 PM,15.569,,,
43,11.12.20 04:43:56 PM,15.569,,,
44,11.12.20 04:48:56 PM,15.473,,,
45,11.12.20 04:53:56 PM,15.378,,,
46,11.12.20 04:58:56 PM,15.473,,,
47,11.12.20 05:03:56 PM,15.473,,,
48,11.12.20 05:08:56 PM,15.569,,,
49,11.12.20 05:13:56 PM,15.664,,,
50,11.12.20 05:18:56 PM,15.569,,,
51,11.12.20 05:23:56 PM,15.473,,,
52,11.12.20 05:28:56 PM,15.569,,,
53,11.12.20 05:33:56 PM,15.664,,,
54,11.12.20 05:38:56 PM,15.664,,,
55,11.12.20 05:43:56 PM,15.664,,,
56,11.12.20 05:48:56 PM,15.760,,,
57,11.12.20 05:53:56 PM,15.760,,,
58,11.12.20 05:58:56 PM,15.569,,,
59,11.12.20 06:03:56 PM,15.569,,,
60,11.12.20 06:08:56 PM,15.760,,,
61,11.12.20 06:13:56 PM,15.951,,,
62,11.12.20 06:18:56 PM,16.046,,,
63,11.12.20 06:23:56 PM,16.141,,,
64,11.12.20 06:28:56 PM,16.046,,,
65,11.12.20 06:33:56 PM,15.855,,,
66,11.12.20 06:38:56 PM,15.760,,,
67,11.12.20 06:43:56 PM,15.664,,,
68,11.12.20 06:48:56 PM,15.664,,,
69,11.12.20 06:53:56 PM,15.664,,,
70,11.12.20 06:58:56 PM,15.664,,,
71,11.12.20 07:03:56 PM,15.664,,,
72,11.12.20 07:08:56 PM,15.760,,,
73,11.12.20 07:13:56 PM,15.855,,,
74,11.12.20 07:18:56 PM,15.951,,,
